contrato;juros_mensal_percentual;juros_atraso_dia_percentual;juros_pagos_historico
cmq6r84vn0008kqod2ulltjr9;20;10;400
cmq6s5r1u000okqodcycz15de;30;0;120
cmq7087g50013kqodxf8vey5r;30;0;180
cmq71byn8001mkqodkyxt9me2;30;0;210
cmq724spa002bkqodvelvvz6w;30;10;120
cmq73i137003bkqod0pdblcek;0;9.99;0
cmq740onr0046kqodo76g0dc5;30;10;180
cmq74toua004ykqod60kt3ta3;30;10;0
cmq76zubh005lkqods5hpd0zq;20;10;0
cmq77hbqz006ekqodsxjfnfu0;30;10;240
cmq77u1ps0073kqodai6u8q3y;30;10;300
cmq787qht007ukqodtzlri0ku;30;10;0
cmqf4k4p10002flz1xxxbvvu1;30;0;150
cmqf4k5c60005flz13g1upeli;30;10;0
cmqf4y75l0008fln2rot7c87o;0;10;0
cmqf4y8zk000hfln2op7mefa3;10;0;0
cmqf4y9mb000kfln2r6wxjv8s;10;0;0
cmqf4ybn6000tfln2uyp321pm;30;0;0
cmqf4yeaz0015fln24behlkem;0;10;0
cmqf4yezb0018fln26bkpq2ze;10;0;0
cmqf4yfqu001bfln2af0bawci;10;0;0
cmqf4ygkl001efln2m9difjz5;10;0;0
cmqf4ymco0025fln29rpu5f7m;30;10;0
cmqf4yopl002hfln2agb5kurk;30;0;0
cmqf4ypas002kfln2xia4cy5a;10;0;0
cmqf4ypv4002nfln24v2so2u3;10;0;0
cmqf4yqhh002qfln26gnr9vw8;10;0;0
cmqf4ysef002zfln2u4xcrbnr;10;0;0
cmqf4yszv0032fln2ivak14jq;10;0;0
cmqf4ytok0035fln2k8aqo5mh;10;0;0
cmqf4yu9j0038fln2w61zjfkx;10;0;0
cmqf4yuw8003bfln2dhqrbk39;0;10;0
cmqf4yvil003efln2c9bfvafp;30;10;150
cmqf4yy4r003qfln2kzchzlp6;30;0;0
cmqf4z1h00045fln23dof8wul;10;0;0
cmqf4z39u004efln2xhgsk0yo;30;0;0
cmqf4z7iu004pfln2otj1j3ho;10;0;0
cmqf4z8p0004sfln21skw1buu;10;0;0
cmqf4zdel005afln25xu8ysl7;10000;0;0
cmqf4zex9005gfln2162wbstd;30;0;0
cmqf4zfiw005jfln20ysjag5g;30;0;0
cmqf4zg5o005mfln2bu7q7r48;30;0;0
cmqf4ziof005yfln2kmhd1hqo;0;10;0
cmqf4zlc2006afln2hd1qas4q;30;10;0
cmqf4zm45006dfln2pp4f07cr;0;10;0
cmqf4znyb006mfln2chxg7i97;10;0;0
cmqf4zok5006pfln2hu3mtl1w;10;0;0
cmqf4zp51006sfln2l8cz4f6q;10;0;0
cmqf4zpry006vfln2qwcdh0go;10;0;0
cmqf4zqyy0071fln2b4rlxo3o;30;0;0
cmqf4zrmq0074fln20psg778l;30;0;0
cmqf4zuq9007gfln2n47dkbaq;10;0;3000
cmqf4zvbe007jfln2j73078vy;30000;0;0
cmqf4zw1w007mfln2vmafu7an;30;0;0
cmqf4zwoy007pfln2lfq97jxw;0;10;0
cmqf4zxbe007sfln2yo3gssvr;20;0;0
cmqf4zy1d007vfln2f7okk5og;30;0;300
cmqf4zyoy007yfln22nnqwfmb;10;0;100
cmqf4zzf00081fln2188q4h5m;0;10;0
cmqf5004f0084fln2bibw7gos;30;0;0
cmqf501ub008bfln25ncnkqc1;30;0;0
cmqf502g2008efln21rrry55z;0;10;0
cmqf503fo008ifln2mazl457j;30;0;0
cmqf5040m008lfln2vcgkkpmr;10;0;0
cmqf504oe008ofln2gmqtozop;10000;0;0
